< SKM HEADER >
skm version: 100
animation name : goosePeck
start frame : 0
last frame : 250
frame count : 250
born obj count : 69


-----------------------------------------------


keyframe 
born index : 0
 [Pos] : 0, 0, 0 [Rotation(quat wxyz)] : 1, 0, 0, 0 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
 [Pos] : 1.25661e-06, 0.0151095, 0.0107365 [Rotation(quat wxyz)] : 0.494086, 0.869413, -5.47649e-08, 3.52744e-08 [Scale] : 1, 1, 1
